Respondent,attribute,importance
217,Budget,31.4258751459814
218,Business Model,21.0237098823537
218,Location,27.0426425788203
218,Synergy,34.5406415703828
218,Budget,17.3930059684432
220,Business Model,30.4524547888269
220,Location,20.0999560835037
220,Synergy,19.9666237743484
220,Budget,29.4809653533211
222,Business Model,42.6586538402511
222,Location,14.0256430188558
222,Synergy,30.3619896834199
222,Budget,12.9537134574732
223,Business Model,35.4982243828901
223,Location,5.71856320434828
223,Synergy,36.2171525121598
223,Budget,22.5660599006018
224,Business Model,26.5029367763881
224,Location,25.6092247472475
224,Synergy,4.48568361552234
224,Budget,43.402154860842
226,Business Model,26.2511158245458
226,Location,17.8733800978247
226,Synergy,25.1992664537317
226,Budget,30.6762376238978
228,Business Model,22.0478058024564
228,Location,18.685982844237
228,Synergy,43.7133202531791
228,Budget,15.5528911001275
229,Business Model,44.8468841935802
229,Location,5.91531909668041
229,Synergy,30.4538401825452
229,Budget,18.7839565271942
231,Business Model,35.6197539291993
231,Location,27.8274747042108
231,Synergy,18.461887651227
231,Budget,18.090883715363
232,Business Model,56.7301953802419
232,Location,6.42100186078379
232,Synergy,28.8030145812619
232,Budget,8.04578817771242
234,Business Model,59.6857382064031
234,Location,9.25265383429592
234,Synergy,28.2673842571432
234,Budget,2.7942237021578
235,Business Model,40.5256333678678
235,Location,6.74404414824984
235,Synergy,24.2822210887883
235,Budget,28.4481013950941
237,Business Model,8.22378896442193
237,Location,28.6473851561022
237,Synergy,42.4163182562868
237,Budget,20.712507623189
239,Business Model,40.0059244353857
239,Location,14.1434279008322
239,Synergy,19.4027257614577
239,Budget,26.4479219023244
241,Business Model,42.9893958233102
241,Location,15.6709466050288
241,Synergy,14.3750059560723
241,Budget,26.9646516155887
243,Business Model,18.1674504231091
243,Location,2.32208641632524
243,Synergy,55.1953762793956
243,Budget,24.3150868811701
244,Business Model,22.1450870476909
244,Location,9.09348601435189
244,Synergy,16.955505521675
244,Budget,51.8059214162823
246,Business Model,12.861227124687
246,Location,19.3807346064627
246,Synergy,12.7984126681257
246,Budget,54.9596256007247
249,Business Model,16.4069345630705
249,Location,3.44652065969536
249,Synergy,42.6469843364322
249,Budget,37.4995604408019
252,Business Model,23.1828321642709
252,Location,12.9073590611327
252,Synergy,3.90847138973343
252,Budget,60.0013373848629
254,Business Model,66.618549993474
254,Location,4.37074865041582
254,Synergy,26.2221458086509
254,Budget,2.78855554745932
258,Business Model,14.754001650139701
258,Location,3.7074453226338
258,Synergy,56.6625916816726
258,Budget,24.8759613455539
